Unnamed: 0,TMDB_ID,Title,Rating,Keywords,Poster_Link,Plot_Story,Genre1,Genre2
17781,990069,little english,6.0,"marriage proposal, london, england, escape, wedding, india, punjabi",https://image.tmdb.org/t/p/original/dCty7fJ7nbGkxrluINqrCCEdkGn.jpg,A Punjabi family is thrown into chaos following the eldest son's refusal to go through with an arranged marriage to a woman who has travelled over from India.,35,18.0
17782,968603,wonder boy!,6.0,"superhero, illness, fantasy world, student film, arthritis",https://image.tmdb.org/t/p/original/ejANcEVZfRUZBb7Yk4fDEZpTA6z.jpg,"Ten-year-old Adam suffers from Juvenile Arthritis. To cope with the daily struggles of his illness Adam draws comics and retreats into his imagination. As the courageous Wonder Boy! Adam fights alongside the heroic Captain Wonder against the notoriously evil Dr. Itis. As Adam’s illness progresses both reality and fantasy collide, and he must find the inner strength to overcome both his illness and the evil Dr. Itis before it’s too late.",18,10751.0
17784,991049,jailbreak lovers,6.3,based on true story,https://image.tmdb.org/t/p/original/2lco6gtw0xKKtoITzV4FMjNkCgm.jpg,"Toby, a woman who always played by the rules. Toby never ran a red light, married the only boy she ever dated, raised a family and went to church. She did everything she was supposed to do. When Toby loses her job and starts a non-profit to rehabilitate abused, rescued dogs at the local prison no one could have anticipated that she would end up on the run, shacked up with her younger lover John, a convicted murderer. The star-crossed lovers hatch a plan to break John out of prison by smuggling him out in one of the dog crates, sparking a federal manhunt.",18,53.0
17785,984824,catopolis,7.0,"clone, slice of life, adult animation, institutionalization, short film, anthropomorphic animal, western animation, militarization",https://image.tmdb.org/t/p/original/kiVhY4bBJN8JTNxqNvYtYDpKurE.jpg,"A cat named Penny living in a desensitized, unstable world has to find a new job after she gets fired in order to make her dad proud.",16,18.0
17788,1012243,salvation has no name,6.333,"refugee, priest, belief in god, short film, hate",https://image.tmdb.org/t/p/original/lqBSrdjCFsWCXiDs4b5rwczvRB.jpg,"A troupe of clowns gather to perform a story about a priest and a refugee, but as their misguided tale unfolds, the boundaries between fiction and reality begin to fray.",16,18.0
17797,1244066,the puzzle-the final piece-part 2,10.0,puzzle jack petty,https://image.tmdb.org/t/p/original/aBDLLTacp4NPtGlOn8p221YLPRM.jpg,"After a story covering many years, The saga comes to an end.",9648,18.0
17798,1089977,we are not the same,9.0,"road trip, opposition, prison break, dramedy, uber, plot twist, taxi ride, flawed hero",https://image.tmdb.org/t/p/original/gqjAj5imdkcjmCQ0hxSiRU9HDuD.jpg,"Oscar, a ride-share driver, is held hostage by escaped prisoner, Sawyer, as he forces him on a road trip to the Mexican border where they discover not to judge a book by it's cover.",28,12.0
17799,1086524,lottery,10.0,"lottery, father, millionaire, lottery ticket, dark romance, toxic relationship",https://image.tmdb.org/t/p/original/qP1W0A1XbEDfpFCiG6rZTMSyInv.jpg,"A young tearaway wins the lottery, but risks losing it all when he becomes embroiled in a toxic love triangle with a pair of recovering scam artists.",18,80.0
17802,995371,under this luminous sky,7.0,"magic, fascism, prince, short film",https://image.tmdb.org/t/p/original/aVZ3pgYjcNJx0YpCRqkFkBFlxhz.jpg,"In a Kingdom where the monarch is increasing control onto its citizens, two friends share a bittersweet goodbye.",16,14.0
17803,1063874,end days part 2,9.5,end-of-days,https://image.tmdb.org/t/p/original/fxuGx9UCNGunUB3KkRhXqRqcNR3.jpg,"Rose, Shane and Mute continue to find their way in post-war England. When Mute discovers two other survivors, tensions rise between Rose and Shane.",53,12.0
17804,1029741,reconstruction,7.0,reconstruction,https://image.tmdb.org/t/p/original/boxDJkzTn1nImJLCT9MRNW00DRK.jpg,"A man is trapped in his own mindset fortress. He is lost and desires to find his way out using his self-strength and understanding instead of the evidence given by the ""mysterious being"". When he ignores the evidence, he is pulled back again and forced to start the same loop in different mindsets. After several warnings and falls, he finally frees himself from the fortress - isolated, and perhaps enters another fortress.",9648,53.0
17806,1051738,the madness in the grooves,10.0,"vinyl record, death metal, lovecraftian, record store, eldritch",https://image.tmdb.org/t/p/original/9HJEoFlXjezSlo3jQIx34CKUcAh.jpg,Small town record store owner Clark finds himself losing his grip on reality when a mysterious record opens his eyes up to an ancient evil beyond human comprehension.,27,35.0
17807,949400,the mother the son the rat and the gun,6.0,"gangster, lawyer, family",https://image.tmdb.org/t/p/original/pmEdS2Tkf40GgV9UNI68OgdzjaG.jpg,"Gun-toting gangsters, lawless lawyers and backstabbing bastards. There's a family in the middle, and while some are trying to keep it afloat, others want to tear it apart.",53,80.0
17808,962729,prophet,8.0,special ops,https://image.tmdb.org/t/p/original/tzDa3SH9kKprurPZXDGgsEDZjRt.jpg,A Spec Op is sent on a mission to rescue a prophet before their revelation occurs.,28,53.0
17819,969307,contactless,10.0,"pizza boy, pizza delivery, pizza delivery boy, delivery boy, short film, student film, independent film, low budget",https://image.tmdb.org/t/p/original/du3mkzxdSRobHL8xkCAADWrycF3.jpg,When a nervous and inexperienced pizza delivery boy stumbles upon a crime he must go on the run and maybe stumble upon saving the day,35,53.0
17820,1065330,the rjtshan christmas special,10.0,"saving christmas, christmas, rjtshan, cork",https://image.tmdb.org/t/p/original/9Zhm3sqT1VyZVEQ2K7QVBFq7lpB.jpg,"A tale of a Christmas-obsessed man named RJTshan, who embarks on a quest to Cork City in order to find his friend the perfect gift for the holiday.",35,10751.0
17821,1048986,"run, girl, run!",9.0,"swamp, folk horror, eldritch",https://image.tmdb.org/t/p/original/5NwjfLL4ztKaC5wFdY5Ug2L5kHA.jpg,"On the run from relentless redneck cultists, a lone girl finds herself trapped in a cycle of violence and death.",28,27.0
17822,1050366,krampen,7.0,"christmas party, exploitation, christmas tree, grindhouse, slasher, christmas horror, christmas story, christmas, low cost, mexican cinema, krampus, low budget",https://image.tmdb.org/t/p/original/vX4MouGfZfnwqEkFXdn2XPKxbEM.jpg,An intruder dressed in a Krampus mask breaks into a teenage Christmas party.,27,53.0
17823,1100723,whirlybird,10.0,"hallucination, conversation, mysterious, young adult",https://image.tmdb.org/t/p/original/7i9dcYuB8LJ6LVMwQhoJoNmzevB.jpg,"A young woman frustrated with her entry into adulthood meets an older woman on a walk, who helps her to see that her life could be far worse...",18,9648.0
17824,1047900,sons and heirs,10.0,"wairarapa, new zealand",https://image.tmdb.org/t/p/original/gG9dM7qXV6Aa2tPXy6n7KzgeJZM.jpg,The story is set in the Wairarapa region in the shadow of the Great Depression. We follow two brothers drawn into the illicit world of illegal alcohol production within the Prohibition era.,35,80.0
17826,912371,when the night falls,7.0,"dance, dystopia, trust, choreography, dance film, war, screendance",https://image.tmdb.org/t/p/original/mBPvljjozBeQaJWAIx4AeY34HX.jpg,"The dance film When the Night Falls tells the story of a woman fleeing the horrors of a collapsing society in the near future. Along the way, she encounters people on whose trust her entire future depends on.",18,10752.0
17827,976768,the art of division,10.0,"fight, smoking, deal, black and white, glasses",https://image.tmdb.org/t/p/original/6ABrThYqfpLBfTvDOR9Smc9lcD4.jpg,Two men find themselves working together to complete a deal for a mysterious item of common interest.,53,80.0
17828,922547,the longest run,8.0,"chase, kidnapping, car thief",https://image.tmdb.org/t/p/original/vpey8dYxGoUp0tHJB8nXAJC1Rxc.jpg,Two rival getaway drivers settle the score on the open road.,28,18.0
17829,1128756,necropolis,10.0,"short film, student film, purdue university, purdue fvs",https://image.tmdb.org/t/p/original/8usCBRmaQpgLrqrA4CWvXbfZryR.jpg,A high schooler on the run seeks refuge in the town Sherrif's home. Things take a turn when the Sherrif reveals his true self...,53,27.0
